timestamp,cpu_usage,mem_usage_percent,temp_c,net_rx_bytes,net_tx_bytes,net_rx_packets,net_tx_packets,connections,thermal_state
2026-09-17T15:18:06.824Z,24,93,29.4,0,1483929,5885844,7444275855,35,Nominal
2026-09-17T15:18:07.842Z,29,93,29.4,0,1483929,5885844,7444275855,34,Nominal
2026-09-17T15:18:08.868Z,37,93,29.5,0,1483944,5885859,7444277322,34,Nominal
2026-09-17T15:18:09.829Z,19,93,29.5,0,1483959,5885877,7444279338,34,Nominal
2026-09-17T15:18:10.832Z,28,93,29.5,0,1483983,5885901,7444282191,34,Nominal
2026-09-17T15:18:11.849Z,29,93,29.5,0,1484004,5885925,7444285095,34,Nominal
2026-09-17T15:18:12.889Z,29,93,29.5,0,1484229,5886147,7444410624,33,Nominal
2026-09-17T15:18:13.847Z,22,93,29.5,0,1484238,5886165,7444412391,32,Nominal
2026-09-17T15:18:15.077Z,19,93,29.5,0,1484277,5886198,7444416390,32,Nominal
2026-09-17T15:18:15.858Z,26,93,29.5,0,1484277,5886198,7444416390,32,Nominal
2026-09-17T15:18:16.862Z,27,94,29.5,0,1484304,5886225,7444419678,32,Nominal
2026-09-17T15:18:17.922Z,34,94,29.5,0,1484319,5886243,7444421628,32,Nominal
2026-09-17T15:18:18.877Z,14,93,29.5,0,1484355,5886276,7444425702,32,Nominal
2026-09-17T15:18:19.869Z,24,93,29.5,0,1484394,5886315,7444430475,32,Nominal
2026-09-17T15:18:20.881Z,42,93,29.5,0,1484415,5886336,7444433178,32,Nominal
2026-09-17T15:18:21.879Z,28,93,29.5,0,1484415,5886336,7444433178,32,Nominal
2026-09-17T15:18:22.944Z,52,93,29.5,0,1484430,5886351,7444434972,32,Nominal
2026-09-17T15:18:23.891Z,24,93,29.5,0,1484436,5886357,7444435500,32,Nominal
2026-09-17T15:18:25.063Z,26,93,29.5,0,1484454,5886375,7444437618,32,Nominal
2026-09-17T15:18:25.885Z,38,93,29.5,0,1484454,5886375,7444437618,32,Nominal
2026-09-17T15:18:26.917Z,27,93,29.5,0,1484463,5886384,7444438557,32,Nominal
2026-09-17T15:18:27.898Z,24,93,29.5,0,1484508,5886432,7444445184,32,Nominal
2026-09-17T15:18:28.941Z,23,93,29.5,0,1484511,5886435,7444445448,32,Nominal
2026-09-17T15:18:29.918Z,21,93,29.5,0,1484532,5886459,7444448148,32,Nominal
2026-09-17T15:18:30.992Z,24,93,29.5,0,1484532,5886459,7444448148,32,Nominal
2026-09-17T15:18:31.925Z,42,93,29.5,0,1484547,5886474,7444449942,32,Nominal
2026-09-17T15:18:32.930Z,42,92,29.5,0,1484568,5886498,7444452786,32,Nominal
2026-09-17T15:18:34.009Z,42,93,29.5,0,1484589,5886519,7444455255,32,Nominal
2026-09-17T15:18:35.187Z,54,93,29.5,0,1484844,5886702,7444495182,33,Nominal
2026-09-17T15:18:35.936Z,36,93,29.5,0,1484844,5886702,7444495182,32,Nominal
2026-09-17T15:18:36.940Z,25,93,29.5,0,1484877,5886738,7444501431,32,Nominal
2026-09-17T15:18:37.945Z,23,93,29.5,0,1484883,5886744,7444501959,32,Nominal
2026-09-17T15:18:38.956Z,22,93,29.5,0,1484892,5886753,7444502958,32,Nominal
2026-09-17T15:18:40.045Z,32,93,29.5,0,1484907,5886768,7444504752,32,Nominal
2026-09-17T15:18:40.963Z,30,93,29.5,0,1484907,5886768,7444504752,32,Nominal
2026-09-17T15:18:41.969Z,23,93,29.5,0,1484925,5886789,7444507392,32,Nominal
2026-09-17T15:18:42.979Z,27,93,29.5,0,1484952,5886816,7444511613,32,Nominal
2026-09-17T15:18:44.007Z,23,93,29.5,0,1485003,5886870,7444540557,32,Nominal
2026-09-17T15:18:45.171Z,27,93,29.5,0,1485021,5886891,7444543017,32,Nominal
2026-09-17T15:18:46.012Z,34,93,29.5,0,1485045,5886915,7444545660,32,Nominal
2026-09-17T15:18:47.003Z,32,93,29.5,0,1485066,5886939,7444548831,32,Nominal
2026-09-17T15:18:48.036Z,27,93,29.5,0,1485165,5887062,7444574748,32,Nominal
2026-09-17T15:18:49.016Z,30,93,29.5,0,1485186,5887086,7444577541,32,Nominal
2026-09-17T15:18:50.013Z,30,93,29.5,0,1485207,5887107,7444580256,32,Nominal
2026-09-17T15:18:51.021Z,24,93,29.5,0,1485207,5887107,7444580256,32,Nominal
2026-09-17T15:18:52.058Z,26,93,29.5,0,1485216,5887119,7444581363,33,Nominal
2026-09-17T15:18:53.033Z,41,93,29.5,0,1485291,5887203,7444602999,33,Nominal
2026-09-17T15:18:54.047Z,33,93,29.5,0,1485330,5887242,7444609956,33,Nominal
2026-09-17T15:18:55.219Z,39,93,29.5,0,1485339,5887251,7444611075,33,Nominal
2026-09-17T15:18:56.283Z,45,93,29.5,0,1485339,5887251,7444611075,33,Nominal
2026-09-17T15:18:57.398Z,73,92,29.5,0,1485357,5887269,7444613391,33,Nominal
