timestamp,cpu_usage,mem_usage_percent,temp_c,net_rx_bytes,net_tx_bytes,net_rx_packets,net_tx_packets,connections,thermal_state
2026-07-30T17:16:33.595Z,67,93,69.8,0,112448715,188885880,217259934570,0,Nominal
2026-07-30T17:16:36.978Z,60,92,79.3,0,112448835,188886165,217260129865,0,Nominal
2026-07-30T17:16:38.181Z,62,92,79.3,0,112448895,188886220,217260137005,0,Nominal
2026-07-30T17:16:40.772Z,66,92,55,0,112449035,188886370,217260159510,0,Nominal
2026-07-30T17:16:42.183Z,61,92,55,0,112449720,188888700,217262971965,0,Nominal
2026-07-30T17:16:44.206Z,70,92,55,0,112449820,188888800,217262984980,0,Nominal
2026-07-30T17:16:46.925Z,31,92,69.4,0,112449995,188888980,217263025780,0,Nominal
2026-07-30T17:16:48.193Z,55,92,69.4,0,112450180,188889155,217263059825,0,Nominal
2026-07-30T17:16:50.236Z,46,92,49.6,0,112450285,188889265,217263074415,0,Nominal
2026-07-30T17:16:52.214Z,41,92,49.6,0,112450345,188889335,217263083370,0,Nominal
2026-07-30T17:16:54.472Z,66,93,53.8,0,112450415,188889415,217263094085,0,Nominal
2026-07-30T17:16:56.211Z,51,93,53.8,0,112450610,188889620,217263153025,0,Nominal
2026-07-30T17:16:58.202Z,48,93,53.8,0,112450820,188889865,217263282905,0,Nominal
2026-07-30T17:17:00.674Z,33,92,67.8,0,112451055,188890210,217263548105,0,Nominal
2026-07-30T17:17:02.193Z,42,92,67.8,0,112451495,188890815,217264007205,0,Nominal
2026-07-30T17:17:04.327Z,61,92,57.2,0,112451545,188890875,217264015810,0,Nominal
2026-07-30T17:17:06.207Z,44,93,57.2,0,112451705,188891035,217264037005,0,Nominal
2026-07-30T17:17:08.199Z,66,93,57.2,0,112451920,188891225,217264066830,0,Nominal
2026-07-30T17:17:10.726Z,39,92,66.5,0,112452070,188891385,217264115755,0,Nominal
2026-07-30T17:17:12.204Z,44,92,66.5,0,112452240,188891540,217264137470,0,Nominal
2026-07-30T17:17:14.670Z,40,92,65.3,0,112452370,188891675,217264157410,0,Nominal
2026-07-30T17:17:16.201Z,39,92,65.3,0,112452585,188891890,217264203410,0,Nominal
2026-07-30T17:17:18.277Z,42,93,54.3,0,112452755,188892045,217264233270,0,Nominal
2026-07-30T17:17:20.196Z,48,93,54.3,0,112452825,188892110,217264242180,0,Nominal
2026-07-30T17:17:22.262Z,49,93,51.2,0,112452935,188892215,217264256475,0,Nominal
2026-07-30T17:17:24.205Z,48,93,51.2,0,112453060,188892330,217264275365,0,Nominal
2026-07-30T17:17:26.963Z,79,93,67.3,0,112453500,188892810,217264440570,0,Nominal
2026-07-30T17:17:28.204Z,40,92,67.3,0,112455785,188894655,217264710235,0,Nominal
2026-07-30T17:17:30.201Z,49,92,67.3,0,112455995,188894890,217264770910,0,Nominal
2026-07-30T17:17:32.854Z,32,93,69.5,0,112456170,188895085,217264835205,0,Nominal
