timestamp,cpu_usage,mem_usage_percent,temp_c,net_rx_bytes,net_tx_bytes,net_rx_packets,net_tx_packets,connections,thermal_state
2026-07-30T17:19:16.508Z,37,93,67.3,0,112490345,188927385,217277204050,0,Nominal
2026-07-30T17:19:17.912Z,40,93,67.3,0,112490415,188927460,217277214930,0,Nominal
2026-07-30T17:19:20.128Z,60,93,54,0,112490515,188927550,217277227675,0,Nominal
2026-07-30T17:19:21.902Z,44,93,54,0,112491755,188929890,217280051120,0,Nominal
2026-07-30T17:19:23.919Z,44,92,54,0,112491900,188930040,217280076080,0,Nominal
2026-07-30T17:19:26.384Z,32,92,68.1,0,112492060,188930220,217280099285,0,Nominal
2026-07-30T17:19:27.913Z,50,92,68.1,0,112492120,188930295,217280113440,0,Nominal
2026-07-30T17:19:30.160Z,64,93,50.6,0,112492395,188930590,217280184135,0,Nominal
2026-07-30T17:19:31.919Z,41,93,50.6,0,112492785,188931125,217280626990,0,Nominal
2026-07-30T17:19:33.911Z,48,93,50.6,0,112492875,188931215,217280641915,0,Nominal
2026-07-30T17:19:36.501Z,61,93,70.4,0,112493025,188931360,217280663040,0,Nominal
2026-07-30T17:19:38.227Z,82,93,70.4,0,112493590,188933625,217283479925,0,Nominal
2026-07-30T17:19:40.139Z,65,93,56.2,0,112494200,188935055,217285143925,0,Nominal
2026-07-30T17:19:41.917Z,41,92,56.2,0,112494330,188935180,217285160355,0,Nominal
2026-07-30T17:19:43.921Z,47,93,56.2,0,112494415,188935275,217285173650,0,Nominal
2026-07-30T17:19:46.284Z,40,93,66.6,0,112494525,188935395,217285189205,0,Nominal
