timestamp,cpu_usage,mem_usage_percent,temp_c,net_rx_bytes,net_tx_bytes,net_rx_packets,net_tx_packets,connections,thermal_state
2026-07-30T17:19:58.755Z,36,93,67.6,0,112495760,188938440,217288193200,0,Nominal
2026-07-30T17:20:00.192Z,41,93,67.6,0,112495860,188938535,217288208760,0,Nominal
2026-07-30T17:20:02.456Z,61,93,60.2,0,112495980,188938660,217288226530,0,Nominal
2026-07-30T17:20:04.201Z,63,93,60.2,0,112496045,188938735,217288239120,0,Nominal
2026-07-30T17:20:06.210Z,41,93,60.2,0,112496115,188938805,217288246955,0,Nominal
2026-07-30T17:20:08.963Z,45,93,74.6,0,112496570,188940535,217290402780,0,Nominal
2026-07-30T17:20:10.203Z,57,93,74.6,0,112496620,188940585,217290410830,0,Nominal
2026-07-30T17:20:12.303Z,53,93,53.5,0,112496775,188940775,217290441515,0,Nominal
2026-07-30T17:20:14.209Z,58,93,53.5,0,112496865,188940860,217290453160,0,Nominal
2026-07-30T17:20:16.221Z,50,93,53.5,0,112497090,188941235,217290759585,0,Nominal
